3.8-1	7806210,10557312
3.8-1.2	10557312
3.8-1.3	10557312
3.8-1.4	10557312
3.8-1.5	10557312
5-HT3c2	14597179
7A5	8889548
A1BG	15489334,15461460,15221005,14760718,14702039,16335952,8889549,3610142,3458201,2591067,12477932
A1CF	11871661,12477932,12881431,12896982,14702039,15148397,15164054,16055734,11815617,11752456,11718896,11577082,11571303,11352648,11329013,11134005,11072063,10833526,10669759,10781591
A26A1	15276201
A26B1	12475935,12477932,15276201,15489334
A26B2	12475935
A26B3	10830953,16364570,15276201,17996727,12475935
A26C1A	17101985,16364570,15276201
A26C1B	15815621,17101985
A26C2	16824795,12477932,10737800,15276201
A26C3	15276201,12475935,10591208
A2BP1	14702039,16260614,16362037,16537540,11471052,17101796,17503474,10814712,12477932,16713569
A2M	7519849,7524416,7533162,7533769,7680268,7690356,8583572,9166830,9344465,9714181,9724081,9831625,9865955,10373500,10652313,10681572,10714547,10731476,10880251,11023837,11036822,11058789,11099722,11100124,11121179,11162584,11166925,11231028,11281447,11290389,11435418,12754519,12755614,12755687,12782337,12782964,12966032,14506912,14637088,14675603,14678766,14687906,14715656,14718574,14759632,14760718,15023809,15468911,15489334,15511627,15611997,15793779,15908432,15910735,15931081,15950906,16040006,16232083,16297527,16335952,16384981,16402284,16407218,16456795,16641085,16650578,16784755,16910174,17071617,17288987,17403113,17453620,17608619,89758,1281457,1370808,1374237,1692292,1697852,1707161,1724156,2408344,2430963,2459995,2460294,2476070,2581245,3289986,6153632,6165619,6167263,6172288,6191979,6195065,6203908,18077315,18171086,11436125,11455130,11484172,11496365,11498265,11811950,11823454,11901360,11910179,11916201,11987698,12015318,12042276,12059070,12062545,12123860,12175343,12194978,12221172,12394648,12477932,12631277
A2ML1	10737800,12477932,14702039,16298998,16344560,17562024
A2MP	2478422
A3GALT2	10854427
A4GALT	10591208,10747952,15489334,15142124,12888565,12477932,11896312,10748143,10854428,10993874,11782470
A4GNT	8125298,15489334,12477932,10430883,9373149,16441422
AAA1	12477932,15073379
AAAS	11914417,12477932,12730363,12752575,14702039,15022193,15217518,15489334,15666842,15680696,15843079,16022285,16098009,16543750,16609705,16938764,8125298,8968764,9373149,11062474,11815731,11159947,11701718
AACP	9284941,2340091
AACS	9671465,4073493,12477932,17762044,12623130,14702039
AACSL	10682835,12477932
AADAC	9299245,9665742,10318829,11481320,8063807,12721789,15152005,15489334,2043131,12477932
AADACL1	12477932,17052608,17052604,15489334,10718198
AADACL2	12477932
AADACL3	16710414
AADACL4	16710414
AADAT	15489334,14702039,12477932,10441733,8087205,1798692,12126930
