affy_Mouse430_2
Probe ID	Genbank Acc
1415670_at	BC024686
1415671_at	NM_013477
1415672_at	NM_020585
1415673_at	NM_133900
1415674_a_at	NM_021789
1415675_at	BC008256
1415676_a_at	NM_011186
1415677_at	NM_026819
1415678_at	BC008595
1415679_at	NM_025498
1415680_at	NM_008569
1415681_at	NM_053164
1415682_at	NM_023045
1415683_at	BC016526
1415684_at	AV168389
1415685_at	NM_133767
1415686_at	AV339290
1415687_a_at	BM212050
1415688_at	NM_025985
1415689_s_at	BC007473
1415690_at	NM_053161
1415691_at	BQ176806
1415692_s_at	BI653492
1415693_at	AW545361
1415694_at	AK004541
1415695_at	BC005762
1415696_at	BC005549
1415697_at	BG069656
1415698_at	BC011152
1415699_a_at	BC003350
1415700_a_at	BC011111
1415701_x_at	BC025918
1415702_a_at	BC013702
1415703_at	BM248615
1415704_a_at	AF320340
1415705_at	AK018610
1415706_at	BQ175820
1415707_at	AI036318
1415708_at	D50523
1415709_s_at	BM948896
1415710_at	BM123013
1415711_at	BC025221
1415712_at	AJ250693
1415713_a_at	U46690
1415714_a_at	BC027564
1415715_at	AK010497
1415716_a_at	AA208652
1415717_at	BI735988
1415718_at	BI152383
1415719_s_at	BE134617
1415720_s_at	AK011037
1415721_a_at	AK004750
1415722_a_at	AK003213
1415723_at	BQ176989
1415724_a_at	AV000235
1415725_at	AA866997
1415726_at	AW536361
1415727_at	AV017766
1415728_at	BG806432
1415729_at	BQ174223
1415730_at	BG972112
1415731_at	W08638
1415732_at	BG071718
1415733_a_at	BI080296
1415734_at	NM_009005
1415735_at	NM_015735
1415736_at	NM_020031
1415737_at	NM_019437
1415738_at	NM_025334
1415739_at	NM_133693
1415740_at	NM_008950
1415741_at	NM_011626
1415742_at	BC016485
1415743_at	NM_010412
1415744_at	BC022974
1415745_a_at	NM_007834
1415746_at	AF363690
1415747_s_at	C80812
1415748_a_at	NM_021608
1415749_a_at	NM_017475
1415750_at	BC019504
1415751_at	BC020024
1415752_at	BC016084
1415753_at	BC005632
1415754_at	BC024419
1415755_a_at	BC019372
1415756_a_at	BB667523
1415757_at	BM948896
1415758_at	BM118442
1415759_a_at	BC028547
1415760_s_at	BC027632
1415761_at	AV021593
1415762_x_at	AV021593
1415763_a_at	BE853401
1415764_at	AK003350
1415765_at	BI080136
1415766_at	BQ175529
1415767_at	BB350365
1415768_a_at	AV054417
1415769_at	NM_008395
1415770_at	NM_031392
1415771_at	BF118393
1415772_at	BF118393
1415773_at	BF118393
1415774_at	NM_021448
1415775_at	BC003785
1415776_at	NM_007437
1415777_at	NM_018874
1415778_at	NM_019768
1415779_s_at	NM_013798
1415780_a_at	NM_026139
1415781_a_at	NM_133354
1415782_at	NM_133354
1415783_at	BI654068
1415784_at	BI654068
1415785_a_at	NM_009840
1415786_at	NM_025973
1415787_at	NM_008060
1415788_at	BF158817
1415789_a_at	BF158817
1415790_at	BF158817
1415791_at	NM_030564
1415792_at	NM_019705
1415793_at	NM_134021
1415794_a_at	BM228780
1415795_at	BM228780
1415796_at	NM_011873
1415797_at	BF225985
1415798_at	BF225985
1415799_at	NM_021714
1415800_at	M63801
1415801_at	M63801
1415802_at	NM_009196
1415803_at	AF010586
1415804_at	AF010586
1415805_at	NM_025469
1415806_at	NM_008872
1415807_s_at	AK011528
1415808_at	NM_009411
1415809_at	NM_009411
1415810_at	BB702754
1415811_at	BB702754
1415812_at	NM_010354
1415813_at	NM_007466
1415814_at	NM_007509
1415815_at	NM_009054
1415816_at	NM_007638
1415817_s_at	NM_007638
1415818_at	NM_013472
1415819_a_at	BC006606
1415820_x_at	NM_023144
1415821_at	NM_009145
1415822_at	BG060909
1415823_at	BG060909
1415824_at	BG060909
1415825_s_at	NM_024249
1415826_at	NM_133826
1415827_a_at	BF658806
1415828_a_at	BF658806
1415829_at	NM_133815
1415830_at	NM_011959
1415831_at	NM_134101
1415832_at	NM_007429
1415833_x_at	NM_009093
1415834_at	NM_026268
1415835_at	NM_008865
1415836_at	NM_019698
1415837_at	BC010754
1415838_at	AK005203
1415839_a_at	NM_008722
1415840_at	NM_134255
1415841_at	NM_010064
1415842_at	NM_019988
1415843_at	NM_019988
1415844_at	AV336547
1415845_at	AV336547
1415846_a_at	NM_013580
1415847_at	NM_013580
1415848_at	NM_008864
1415849_s_at	BC010581
1415850_at	NM_009025
1415851_a_at	M33934
1415852_at	M33934
1415853_at	NM_054046
1415854_at	BB815530
1415855_at	BB815530
1415856_at	BG064842
1415857_at	BG064842
1415858_at	BB858329
1415859_at	BB858329
1415860_at	NM_010655
1415861_at	BB762957
1415862_at	BB762957
1415863_at	NM_013507
1415864_at	NM_007563
1415865_s_at	NM_007563
1415866_at	NM_133952
1415867_at	NM_009837
1415868_at	NM_009837
1415869_a_at	NM_011588
1415870_at	NM_007594
1415871_at	NM_009369
1415872_at	NM_021510
1415873_a_at	NM_016860
1415874_at	NM_011896
1415875_at	NM_019643
1415876_a_at	NM_013765
1415877_at	NM_009468
1415878_at	BB758819
1415879_a_at	BC012413
1415880_a_at	NM_010684
1415881_at	BC010224
1415882_at	BC010224
1415883_a_at	NM_026419
1415884_at	NM_026419
1415885_at	NM_007694
1415886_at	AB043953
1415887_at	NM_019678
1415888_at	NM_008231
1415889_a_at	NM_011631
1415890_at	NM_011863
1415891_at	NM_019879
1415892_at	NM_009163
1415893_at	NM_009163
1415894_at	BC003264
1415895_at	NM_013670
1415896_x_at	NM_013670
1415897_a_at	BI150149
1415898_at	BI150149
1415899_at	NM_008416
1415900_a_at	BB333334
1415901_at	NM_011962
1415902_at	BC012407
1415903_at	NM_134086
