#disease_state	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53	mutant p53
Probesets	GSM79144	GSM79118	GSM79147	GSM79241	GSM79122	GSM79227
AFFX-BioB-5_at	7.013624	7.18258	7.238696	7.718196	7.165012	6.724806
AFFX-BioB-M_at	7.385432	7.86571	7.789775	8.248251	7.394217	7.236189
AFFX-BioB-3_at	6.605327	6.770452	6.854982	7.335402	6.591866	6.289477
AFFX-BioC-5_at	8.367368	8.494405	8.595985	9.052808	8.471583	8.176758
AFFX-BioC-3_at	7.455103	7.609298	7.63934	8.119353	7.538562	7.079426
AFFX-BioDn-5_at	7.609422	8.032487	8.184644	8.718598	7.917791	7.638179
AFFX-BioDn-3_at	10.958244	11.040771	11.023594	11.52553	10.946698	10.674969
AFFX-CreX-5_at	11.657862	11.656977	11.640281	11.998738	11.412489	11.221067
AFFX-CreX-3_at	12.110063	12.155309	12.345803	12.456397	11.931317	11.546846
AFFX-DapX-5_at	3.67333	3.648956	3.572435	3.545332	3.614331	3.578509
AFFX-DapX-M_at	3.772595	3.737315	3.616305	3.682446	3.728026	3.7196
AFFX-DapX-3_at	3.68151	3.628055	3.561021	3.609248	3.63797	3.78592
AFFX-LysX-5_at	3.497654	3.487668	3.592611	3.494709	3.569702	3.693629
AFFX-LysX-M_at	4.915536	4.779742	4.580003	4.659942	4.729512	4.868748
AFFX-LysX-3_at	3.692459	3.766107	3.685932	3.692178	3.683534	3.689269
AFFX-PheX-5_at	3.895763	3.948291	3.864642	3.898877	3.925819	4.011278
AFFX-PheX-M_at	3.596698	3.493587	3.625116	3.619416	3.657276	3.767039
AFFX-PheX-3_at	6.656972	6.536987	6.528761	6.618806	6.760726	6.701474
AFFX-ThrX-5_at	4.545333	4.395127	4.382013	4.341607	4.450207	4.494544
AFFX-ThrX-M_at	3.973111	3.882241	3.814808	3.843262	3.839627	3.920301
AFFX-ThrX-3_at	5.146154	5.114904	5.037939	5.151108	5.164075	5.208998
AFFX-TrpnX-5_at	4.180844	4.104385	3.931303	3.983538	4.052591	4.056549
AFFX-TrpnX-M_at	4.033892	3.99736	4.031718	4.089957	3.982938	4.101426
AFFX-TrpnX-3_at	3.611879	3.648783	3.689577	3.652251	3.645821	3.705932
AFFX-HUMISGF3A/M97935_5_at	3.950883	4.335731	4.481053	4.117819	3.854854	6.016591
AFFX-HUMISGF3A/M97935_MA_at	7.577611	8.539045	8.647771	7.767501	7.338359	9.799825
AFFX-HUMISGF3A/M97935_MB_at	6.379181	7.702697	7.962589	6.92914	6.033746	9.317081
AFFX-HUMISGF3A/M97935_3_at	9.51895	11.016429	10.614144	10.315402	8.934876	11.075963
AFFX-HUMRGE/M10098_5_at	5.136113	5.057668	4.940961	5.254838	4.71427	4.996289
AFFX-HUMRGE/M10098_M_at	5.061315	4.729077	4.966526	5.46832	4.871034	4.65145
AFFX-HUMRGE/M10098_3_at	6.869798	6.179181	6.599268	7.024364	5.989626	6.351647
AFFX-HUMGAPDH/M33197_5_at	10.965249	11.63905	11.36763	11.591838	12.763463	12.596929
AFFX-HUMGAPDH/M33197_M_at	11.697779	11.966921	11.734749	11.968788	13.122864	12.575165
AFFX-HUMGAPDH/M33197_3_at	12.927939	12.903883	12.685011	12.980888	13.42317	13.183883
AFFX-HSAC07/X00351_5_at	11.277008	12.333183	11.949369	11.600829	10.976158	12.722567
AFFX-HSAC07/X00351_M_at	12.162325	13.117978	12.597301	12.509767	12.140989	13.125801
AFFX-HSAC07/X00351_3_at	12.985239	13.061576	13.210262	12.942829	12.97581	12.982048
AFFX-M27830_5_at	6.307012	6.13496	6.368376	6.04923	5.78474	5.928494
AFFX-M27830_M_at	9.31676	8.919652	9.290932	8.676889	9.195724	8.756091
AFFX-M27830_3_at	7.887343	7.587406	7.596295	7.850263	7.750503	7.814556
AFFX-hum_alu_at	14.042674	13.747305	13.525368	14.006546	13.764258	13.663394
AFFX-r2-Ec-bioB-5_at	6.735132	6.925848	6.924497	7.619985	6.733116	6.357987
