CARD4	[15790594, 15718249, 15771576, 15703626, 15703577, 15839897, 15725060, 15802263, 15845503]
CPSF3	[15358515, 15684398, 15550246]
TACC2	[15207008, 15304323, 14603251, 14767476, 15675572, 12711550, 12684693, 15226440]
RTN3	[15461990, 15765506, 15541434, 15799019, 15858203]
AGER	[15845907, 15817752, 15820592, 15803111, 15790669, 15823718, 15781285, 15764591, 15789216, 15840633, 15798956, 15830106, 15781633, 15770917, 15836910, 15766890, 15809240, 15750291, 15802944, 15862647, 15781751, 15823719, 15753421, 15820406]
DYT1	[15781184, 15841768, 15842729, 15858601, 15766274, 15729855, 15735048, 15737700, 15827445, 15813289, 15812452, 15793882, 15756536, 15871516, 15829281, 15825124, 15825129, 15767459, 15793177, 15826953, 15793184]
CORO1A	[15819430, 15869390, 15823281, 15851765]
RBM17	[15526362, 15050977, 14578179]
WT1	[15749664, 15658629, 15659698, 15749654, 15782132, 15696971, 15716344, 15854547, 15788921, 15826834, 15653840, 15666828, 15752709, 15777709, 15779023, 15780077, 15777480, 15758579, 15870183, 15702131, 15770638, 15747102, 15855632, 15862566, 15845894, 15677533, 15665984, 15755060, 15779010, 15798339, 15687936, 15748711, 15687485, 15682315, 15749674, 15674342, 15761866, 15754297, 15838390, 15798086, 15722786, 15766105, 15661271, 15742368, 15790789, 15730716]
SYCP2	[15730934, 15870106]
SULF1	[15080891, 12686563, 14699503, 12368295, 12419802, 15817123, 14973553]
PHYH	[12694175, 14672712, 15694837, 12923223, 14713215, 14970690, 14974078, 14713244, 15109262, 12767919, 14713238, 15102880]
TOP2B	[15526362, 11528129, 9795238, 7783737, 12197834, 8863738, 15241656, 15543237, 9380682]
ATP9A	[9734811, 9838086]
NUDT5	[12370179, 10373642, 10722730, 10567213, 12717453]
IRF7	[15585412, 15695821, 15743772, 15492278, 15377465, 15842376, 15767254, 15800576, 15851485, 15767370, 15650197, 15664159, 15664995, 15749911]
TGFBR1	[15845540, 15860866, 15770714, 15843168, 15797633, 15769863, 15766759, 15850837, 15775557, 15775675, 15833881, 15867212, 15840021]
VTI1B	[15797025, 15371541, 15133481, 15640147]
RPS6KB1	[15781656, 15790591, 15772076, 15827064, 15809305, 15760907, 15796902, 15767663]
RAPGEF4	[15202935, 15561922, 14693691, 15598877, 15856025]
KCNB1	[15858231, 15733564, 15855232, 15748622, 15776285, 15827117]
ALDH9A1	[15862040, 15864871, 15858023, 15861135, 15861809, 15865930, 15866439]
TGM1	[15875083, 15871920, 15872096, 15872217, 15872188, 15875240, 15871275, 15872061, 15872013, 15871265, 15872075, 15871677, 15875085, 15872146]
DDX18	[10628839, 8861962, 9716523]
PRPSAP2	[9806849, 9748490]
SORCS1	[15009648, 12482870]
ZNF322A	[15555580]
EIF2S3	[15845644, 15788752, 15850464, 15788409, 15798194, 15838098]
CLDN10	[14560706, 15337802, 12748447, 15686784, 15566177, 14656904, 15119588, 12626608, 15005490]
DTYMK	[15681620, 15855530, 15748706]
POP5	[15130821, 15165183, 15096576]
RNGTT	[15728540, 15778507, 15747169, 15735603, 15717688, 15747948, 15765049, 15756576]
ABHD2	[15781251, 15750623, 15851486]
CCL19	[15767203, 15743472, 15829268, 15845453, 15851484, 15784733, 15774550, 15840822, 15849470, 15816013]
PAXIP1L	[14576432, 11940591, 10908331, 12588986, 11757272, 15456759]
LIN28	[15073154, 15722555, 15614775]
ELA2	[15872123, 15870396, 15867518, 15865086, 15872240, 15868737, 15870145, 15870300, 15864423, 15864698, 15864152, 15863234, 15872119, 15864678, 15868069, 15864706, 15867636, 15867559, 15868925, 15868501, 15872227, 15869374, 15870055, 15866065, 15865202, 15866957, 15863218, 15870924, 15864436, 15863725, 15871905]
TXNL5	[15078107, 15721611, 15355959]
CRABP2	[15637286, 15225641, 15205379, 15661643, 15705628, 15448016, 15601824, 15866176]
NXF1	[15860148, 15868101, 15857972, 15863895, 15852985, 15863492, 15853100, 15863790, 15870543, 15853969, 15866015]
EXO1	[15509802, 15802517, 15859354, 15486081, 15550454, 15489288, 15601866, 15631010, 15629726, 15485933, 15743825]
ADCYAP1R1	[9464636, 8943280, 8993392, 10571263, 7851900, 7656595, 9274830, 8146174, 9115282, 9310397, 10650952]
AP4B1	[15869561, 15819540, 15831236]
KRT4	[15866340, 15859260, 15866342, 15867471, 15870261, 15861294, 15872348]
AIP	[15758196, 15828996, 15855821, 15743785, 15727092, 15782107, 15827161, 15843786, 15841047, 15833690, 15847026, 15820646, 15836665, 15838041, 15791420, 15758927, 15775703, 15804501, 15805442, 15794642]
TFAP2A	[15870067, 15778375, 15851553, 15811338, 15809053, 15802264, 15864745, 15823087, 15820989, 15827566, 15778699, 15830141, 15809337, 15757666]
AHSA1	[15870903, 15874933, 15874975]
GBA3	[15828816, 15860479, 15824160]
NAT8	[15871766, 15869869, 15869355]
AXL	[15634517, 15596133, 15650770, 15817639, 15733062, 15626683, 15731461, 15731491, 15605394, 15579134, 15619028]
Bit1	[15641867, 15697327]
DNASE1L3	[15849937, 15839202, 15836196, 15852061, 15854324, 15849019]
FMR1	[15764906, 15765265, 15821952, 15762820, 15862312, 15867985, 15806267, 15827124, 15849678, 15748838, 15834242, 15748850, 15829080, 15853623, 15772620, 15843971, 15817054, 15840405, 15820853, 15762821, 15818485, 15805463, 15755515, 15761544, 15800846, 15780932, 15761759, 15811008, 15843057, 15801390, 15866564, 15757976, 15861180, 15782991, 15841433]
TACSTD1	[15803545, 15852759, 15839469, 15816554, 15805290, 15806215, 15843572, 15830763, 15801404, 15802171, 15870832, 15820046, 15868152, 15802938, 15827054, 15867145, 15855574, 15830762]
HIST1H3E	[15835908, 15857175, 15788566, 15826954, 15767661, 15775977, 15851689, 15834135, 15862832]
ADCY3	[12810877, 15365586, 14970995, 12950106, 15847162, 15630934, 14648290, 14586098, 15705663, 15824018, 12798295, 12711600, 15858028]
ATP6V1C2	[15540116, 15388948]
RBAF600	[15195138]
VAPA	[15554711, 15715172, 15609880, 15530741, 15734542, 15750091, 15668246]
SCN1B	[15618878, 15857929, 15012599, 14738422, 15452131, 15721864, 15526956, 15520326, 15605469]
SNRPE	[15797398, 15782523, 15556453, 15663902, 15811511, 15609963, 15741075]
ACAD8	[11013134, 15505379, 12359132]
MAPKBP1	[15569266, 14499478]
RARG	[10559481, 9151257, 1662663, 12588859, 8759116, 8157699, 9465901, 9468588, 12680208, 12972069, 12657469, 11091596, 8251184]
NALP12	[15596043, 15817483, 12799471, 12759408, 15701651]
FBXO33	[15380003]
PKNOX1	[15138251, 15269212, 15792957, 15656786, 15720653, 15187018, 14764653, 15468914, 15654074]
RAB14	[15872362, 15815097]
ADIPOR1	[15771136, 15855314, 15801334, 15769985, 15824748]
RPL14	[15715952, 15784356, 15753845, 15703245, 15862480, 15848027, 15860401]
SLC22A13	[10231028, 12504088, 10072596]
SHARP	[15871272, 15875017, 15871958, 15875075, 15875012, 15871602]
GDF5	[15315327, 15569154, 15800003, 15676094, 15481582, 15322331, 15805157, 15790752, 15492776, 15752764, 15387971, 15542031, 15329344, 15841179]
MAGEC1	[15606517, 15723723, 15694019, 15761016]
PRKR	[15699214, 15871663, 15684819, 15845550, 15690081, 15715665, 15767789, 15737233, 15851010, 15802955, 15692788, 15794745, 15721356, 15681405, 15858013, 15681426, 15752359, 15682653, 15850464, 15846372, 15807852, 15850805, 15711931, 15670795, 15774759, 15857854, 15791954, 15727904, 15816776, 15831962, 15798194, 15865205, 15772293, 15684816, 15781241]
ZNF143	[15861386, 15814128, 15849908, 15803443, 15817363, 15832329, 15803282, 15838511]
TRIM9	[15874856, 15871659, 15871384]
CASP7	[9865862, 10224236, 9805384, 15477368, 14679087, 14552373, 9572587, 10510942, 9054418, 10036751, 14761923, 10840595, 9195941, 9446602, 10556979, 9309141]
C11orf13	[15834153]
OR1E1	[8665947, 8921386, 15654890, 15271985, 10460249]
