animals	C.elegans	affy_Celegans
Animals	Cattle	RZPD_Bovine_Unigene1
Animals	Cattle	RefSeq_Bovine
Animals	Cattle	affy_Bovine
Animals	Dog	affy_Canine_2
Animals	Frog	RZPD_Xenopus_Unigene1
Animals	Frog	affy_Xenopus_laevis
Animals	Human	APPLERA_ABI1700
Animals	Human	Agilent_Human1A
Animals	Human	Agilent_Human1Av2
Animals	Human	Agilent_Human1B
Animals	Human	Agilent_Human1_cDNA
Animals	Human	Agilent_HumanGenome
Animals	Human	Clontech_Atlas_13K
Animals	Human	CodeLink_Human_Whole_Genome
Animals	Human	CodeLink_UniSet_Human_20K_I_Bioarray
Animals	Human	CodeLink_UniSet_Human_II_Bioarray
Animals	Human	CodeLink_UniSet_Human_I_Bioarray
Animals	Human	Illumina_Human
Animals	Human	MWG_Human_30K_A
Animals	Human	MWG_Human_30K_B
Animals	Human	MWG_Human_30K_C
Animals	Human	OPERON_HUMANv2
Animals	Human	OPERON_HUMANv3
Animals	Human	RZPD_Human_Ensembl1.1
Animals	Human	RZPD_Human_ORF_Clones_Gateway
Animals	Human	RZPD_Human_Unigene3.1
Animals	Human	RefSeq_Human
Animals	Human	Research_Genetics
Animals	Human	SeattleSNPs
Animals	Human	TIGR_31K_Human_Set
Animals	Human	TIGR_40K_Human_Set
Animals	Human	TIGR_40K_Human_Set_CAG_32x27
Animals	Human	UCLA_NIH_33K
Animals	Human	affy_HC_G110
Animals	Human	affy_HG-Focus
Animals	Human	affy_HG-U133A
Animals	Human	affy_HG-U133B
Animals	Human	affy_HG-U133_Plus_2
Animals	Human	affy_HG_U95Av2
Animals	Human	affy_HG_U95B
Animals	Human	affy_HG_U95C
Animals	Human	affy_HG_U95D
Animals	Human	affy_HG_U95E
Animals	Human	affy_Hu35KsubA
Animals	Human	affy_Hu6800
Animals	Human	affy_MuscleChip
Animals	Human	affy_U133_X3P
Animals	Human	labonweb_human
Animals	Mouse	Agilent_MouseDev
Animals	Mouse	Agilent_MouseGenome
Animals	Mouse	Agilent_MouseOligo
Animals	Mouse	Agilent_Mouse_cDNA
Animals	Mouse	BMAP
Animals	Mouse	Clontech_BD_Atlas
Animals	Mouse	CodeLink_UniSet_Mouse_I_Bioarray
Animals	Mouse	FANTOM1
Animals	Mouse	FANTOM2
Animals	Mouse	Illumina_Oligator_MEEBO_Mouse
Animals	Mouse	LION_Mouse_ArrayTAG
Animals	Mouse	NIA_15K
Animals	Mouse	NIA_7.4K
Animals	Mouse	OPERON_MOUSEv2
Animals	Mouse	RIKEN_20K
Animals	Mouse	RIKEN_20K-2
Animals	Mouse	RIKEN_20K-3
Animals	Mouse	RZPD_Mouse_Unigene2.1
Animals	Mouse	RefSeq_Mouse
Animals	Mouse	TIGR_25K_Mouse_Set
Animals	Mouse	UTSW
Animals	Mouse	affy_MG_U74Av2
Animals	Mouse	affy_MG_U74Bv2
Animals	Mouse	affy_MG_U74Cv2
Animals	Mouse	affy_MOE430A
Animals	Mouse	affy_MOE430B
Animals	Mouse	affy_Mouse430_2
Animals	Mouse	affy_Mu11KsubA
Animals	Mouse	affy_Mu11KsubB
Animals	Mouse	labonweb_mouse
Animals	Rat	Agilent_RatOligo
Animals	Rat	CodeLink_UniSet_Rat_I_Bioarray
Animals	Rat	LION_Rat_ArrayTAG
Animals	Rat	MCW_13K_Rat_Set
Animals	Rat	OPERON_rat_V3.0
Animals	Rat	RefSeq_Rat
Animals	Rat	TIGR_13K_Rat_Set
Animals	Rat	affy_RAE230A
Animals	Rat	affy_RAE230B
Animals	Rat	affy_RG_U34A
Animals	Rat	affy_RG_U34B
Animals	Rat	affy_RG_U34C
Animals	Rat	affy_RN_U34
Animals	Rat	affy_RT_U34
Animals	Rat	affy_Rat230_2
Animals	Rat	labonweb_rat
Animals	Zebrafish	Compugen_Zebrafish_Oligo
Animals	Zebrafish	affy_Zebrafish
Animals	Yeast	RZPD_S.cerevisiae_ORF_Clones_Gateway
Plants	Rice	TIGR_Rice
