locusLinkId,name,Product,chrom,txStart,txEnd,Ref_Seq
497097,Xkr4,XK-related protein 4,chr1,3174829,3630690,NM_001011874
19888,Rp1h,retinitis pigmentosa 1 homolog,chr1,4304522,4320770,NM_011283
20671,Sox17,SRY-box 17,chr1,4451317,4456803,NM_011441
68077,Gltscr2,glioma tumor suppressor candidate region gene 2,chr1,4648273,4649804,NM_133831
27395,Mrpl15,mitochondrial ribosomal protein L15,chr1,4733603,4746103,NM_025300
18777,Lypla1,lysophospholipase 1,chr1,4768285,4807127,NM_008866
21399,Tcea1,transcription elongation factor A (SII) 1,chr1,4818206,4858295,NM_011541
58175,Rgs20,regulator of G-protein signaling 20,chr1,4870637,4979819,NM_021374
108664,Atp6v1h,"ATPase, H+ transporting, lysosomal, V1 subunit",chr1,5048448,5126165,NM_133826
18387,Oprk1,"opioid receptor, kappa 1",chr1,5551006,5565382,NM_011011
12421,Rb1cc1,RB1-inducible coiled-coil 1,chr1,6180173,6241087,NM_009826
240690,St18,suppression of tumorigenicity 18,chr1,6695648,6826538,NM_173868
319263,Pcmtd1,hypothetical protein LOC319263,chr1,7090301,7142844,NM_183028
71096,Sntg1,"syntrophin, gamma 1",chr1,8450893,9404008,NM_027671
59014,Rrs1,RRS1 ribosome biogenesis regulator homolog,chr1,9650211,9652221,NM_021511
76187,Adhfe1,Fe-containing alcohol dehydrogenase 1,chr1,9652849,9682761,NM_175236
76982,3110035E14Rik,hypothetical protein LOC76982,chr1,9706059,9731933,NM_178399
17864,Mybl1,myeloblastosis oncogene-like 1,chr1,9774668,9804619,NM_008651
70675,Vcpip1,valosin-containing protein (p97)/p47,chr1,9827872,9852925,NM_173443
170755,Sgk3,serum/glucocorticoid regulated kinase 3 isoform,chr1,9903445,10004029,NM_133220
240697,6030422M02Rik,hypothetical protein LOC240697,chr1,10013752,10027640,NM_177722
69312,4930418G15Rik,hypothetical protein LOC69312 isoform 2,chr1,10073742,10114235,NM_145692
69312,4930418G15Rik,hypothetical protein LOC69312 isoform 1,chr1,10100177,10114245,NM_027033
26754,Cops5,COP9 signalosome subunit 5,chr1,10129947,10143013,NM_013715
329093,Cpa6,carboxypeptidase B,chr1,10430049,10825406,NM_177834
320492,A830018L16Rik,hypothetical protein LOC320492,chr1,11519751,12100441,NM_177173
240725,Sulf1,sulfatase 1,chr1,12847254,12989080,NM_172294
240726,Slco5a1,"solute carrier organic anion transporter family,",chr1,13007303,13121067,NM_172841
17978,Ncoa2,nuclear receptor coactivator 2,chr1,13272503,13507009,NM_008678
72265,Tram1,translocating chain-associating membrane protein,chr1,13697903,13722902,NM_028173
212442,Lactb2,"lactamase, beta 2",chr1,13758945,13793556,NM_145381
381246,Xkr9,XK-related protein 9,chr1,13801818,13840046,NM_001011873
14048,Eya1,eyes absent 1 homolog,chr1,14348042,14481970,NM_010164
17681,Msc,musculin,chr1,14930746,14933366,NM_010827
277328,Trpa1,"transient receptor potential cation channel,",chr1,15050047,15096262,NM_177781
21749,Terf1,telomeric repeat binding factor 1,chr1,15983322,16021093,NM_009352
19989,Rpl7,ribosomal protein L7,chr1,16284751,16287860,NM_011291
98711,Rdh10,retinol dehydrogenase 10,chr1,16289336,16316005,NM_133832
29819,Stau2,staufen (RNA binding protein) homolog 2,chr1,16527085,16558283,NM_025303
67923,Tceb1,"transcription elongation factor B (SIII),",chr1,16827250,16842140,NM_026456
70397,Tmem70,hypothetical protein LOC70397,chr1,16850492,16863659,NM_027415
17087,Ly96,lymphocyte antigen 96,chr1,16872912,16894065,NM_016923
57339,Jph1,junctophilin 1,chr1,17181923,17282258,NM_020604
14545,Gdap1,ganglioside-induced,chr1,17329856,17348723,NM_010267
94227,Pi15,protease inhibitor 15,chr1,17786458,17809910,NM_053191
83691,Crispld1,cocoacrisp,chr1,17911885,17949212,NM_031402
574082,Defb49,beta-defensin 49,chr1,18427048,18440661,NM_001025352
77673,Defb41,defensin beta 41,chr1,18468477,18482637,NM_183124
226896,Tcfap2d,"transcription factor AP-2, delta",chr1,19320720,19384024,NM_153154
21419,Tcfap2b,transcription factor AP-2 beta isoform 1,chr1,19426612,19456433,NM_009334
21419,Tcfap2b,transcription factor AP-2 beta isoform 2,chr1,19429752,19456433,NM_001025305
241035,Pkhd1,polyductin,chr1,20275362,20840830,NM_153179
16171,Il17,interleukin 17,chr1,20954796,20958387,NM_010552
257630,Il17f,interleukin 17F,chr1,21003037,21004782,NM_145856
17215,Mcm3,minichromosome maintenance deficient 3,chr1,21028283,21045335,NM_008563
74229,Paqr8,progestin and adipoQ receptor family member,chr1,21115565,21163699,NM_028829
170829,Tram2,translocating chain-associating membrane protein,chr1,21226321,21304143,NM_133252
