LL	Hydro
1	hydrophobic
2	hydrophobic
10	hydrophobic
12	hydrophobic
13	hydrophobic
14	hydrophobic
15	hydrophobic
16	hydrophobic
18	hydrophobic
20	hydrophobic
21	hydrophilic
22	hydrophobic
23	hydrophobic
24	hydrophobic
25	hydrophobic
26	hydrophobic
27	hydrophobic
28	hydrophobic
29	hydrophobic
30	hydrophilic
31	hydrophobic
32	hydrophobic
33	hydrophobic
34	hydrophobic
35	hydrophilic
36	hydrophobic
37	hydrophobic
38	hydrophilic
39	hydrophilic
41	hydrophobic
43	hydrophobic
47	hydrophobic
48	hydrophobic
49	hydrophobic
50	hydrophobic
51	hydrophobic
52	hydrophobic
52	hydrophobic
53	hydrophobic
54	hydrophobic
55	hydrophobic
56	hydrophobic
58	hydrophobic
59	hydrophobic
60	hydrophobic
71	hydrophobic
72	hydrophobic
86	hydrophobic
87	hydrophobic
88	hydrophobic
89	hydrophobic
90	hydrophobic
91	hydrophobic
92	hydrophobic
93	hydrophobic
94	hydrophobic
97	hydrophobic
100	hydrophobic
101	hydrophobic
102	hydrophobic
104	hydrophobic
108	hydrophilic
109	hydrophobic
112	hydrophilic
113	hydrophilic
114	hydrophobic
115	hydrophobic
116	hydrophobic
117	hydrophilic
119	hydrophobic
123	hydrophobic
124	hydrophilic
125	hydrophilic
126	hydrophilic
127	hydrophilic
128	hydrophilic
131	hydrophilic
132	hydrophobic
132	hydrophobic
133	hydrophobic
134	hydrophilic
135	hydrophilic
136	hydrophilic
140	hydrophilic
141	hydrophobic
142	hydrophobic
143	hydrophobic
146	hydrophilic
147	hydrophilic
148	hydrophilic
151	hydrophilic
152	hydrophilic
153	hydrophilic
154	hydrophilic
155	hydrophilic
156	hydrophobic
158	hydrophobic
159	hydrophobic
160	hydrophobic
162	hydrophobic
163	hydrophobic
164	hydrophobic
165	hydrophobic
166	hydrophobic
172	hydrophilic
173	hydrophobic
174	hydrophobic
175	hydrophobic
176	hydrophobic
176	hydrophobic
178	hydrophobic
178	hydrophobic
178	hydrophobic
178	hydrophobic
178	hydrophobic
178	hydrophobic
181	hydrophobic
181	hydrophobic
182	hydrophobic
183	hydrophilic
185	hydrophilic
185	hydrophilic
185	hydrophilic
185	hydrophilic
186	hydrophilic
189	hydrophobic
190	hydrophobic
191	hydrophobic
196	hydrophobic
197	hydrophobic
199	hydrophobic
203	hydrophobic
204	hydrophobic
204	hydrophobic
205	hydrophobic
208	hydrophobic
210	hydrophobic
212	hydrophobic
213	hydrophobic
215	hydrophobic
220	hydrophobic
221	hydrophobic
222	hydrophobic
223	hydrophobic
224	hydrophobic
226	hydrophobic
229	hydrophobic
238	hydrophobic
240	hydrophobic
244	hydrophobic
247	hydrophobic
248	hydrophobic
250	hydrophobic
259	hydrophobic
262	hydrophobic
268	hydrophobic
269	hydrophobic
270	hydrophobic
272	hydrophobic
273	hydrophobic
274	hydrophobic
275	hydrophobic
283	hydrophobic
285	hydrophobic
286	hydrophobic
287	hydrophobic
290	hydrophobic
293	hydrophilic
301	hydrophobic
306	hydrophobic
307	hydrophobic
308	hydrophobic
309	hydrophobic
310	hydrophobic
311	hydrophobic
312	hydrophobic
313	hydrophobic
314	hydrophobic
314	hydrophobic
316	hydrophobic
317	hydrophobic
317	hydrophobic
318	hydrophobic
319	hydrophobic
322	hydrophobic
324	hydrophobic
325	hydrophobic
326	hydrophobic
326	hydrophobic
326	hydrophobic
328	hydrophobic
329	hydrophobic
330	hydrophobic
332	hydrophobic
334	hydrophobic
335	hydrophobic
336	hydrophobic
337	hydrophobic
338	hydrophobic
339	hydrophobic
339	hydrophobic
341	hydrophobic
343	hydrophilic
344	hydrophobic
345	hydrophobic
346	hydrophobic
347	hydrophobic
348	hydrophobic
350	hydrophobic
351	hydrophobic
353	hydrophilic
354	hydrophilic
356	hydrophobic
357	hydrophobic
358	hydrophilic
359	hydrophilic
360	hydrophilic
361	hydrophilic
361	hydrophilic
362	hydrophilic
363	hydrophilic
363	hydrophilic
364	hydrophilic
367	hydrophobic
368	hydrophilic
369	hydrophobic
373	hydrophobic
375	hydrophobic
377	hydrophobic
378	hydrophobic
379	hydrophobic
381	hydrophobic
382	hydrophobic
383	hydrophobic
384	hydrophobic
387	hydrophobic
393	hydrophobic
394	hydrophobic
395	hydrophobic
395	hydrophobic
395	hydrophobic
395	hydrophobic
395	hydrophobic
397	hydrophobic
398	hydrophobic
399	hydrophobic
400	hydrophobic
401	hydrophobic
402	hydrophobic
403	hydrophobic
409	hydrophobic
410	hydrophilic
411	hydrophobic
412	hydrophobic
414	hydrophobic
414	hydrophobic
415	hydrophilic
416	hydrophobic
417	hydrophobic
421	hydrophobic
427	hydrophobic
429	hydrophobic
433	hydrophobic
434	hydrophobic
438	hydrophobic
440	hydrophobic
443	hydrophobic
444	hydrophobic
445	hydrophobic
445	hydrophobic
462	hydrophobic
467	hydrophobic
467	hydrophobic
468	hydrophobic
472	hydrophobic
479	hydrophilic
483	hydrophobic
487	hydrophilic
488	hydrophilic
492	hydrophobic
496	hydrophobic
501	hydrophobic
525	hydrophobic
526	hydrophobic
529	hydrophobic
533	hydrophilic
537	hydrophilic
545	hydrophobic
547	hydrophobic
549	hydrophilic
550	hydrophobic
551	hydrophobic
554	hydrophilic
558	hydrophobic
563	hydrophobic
570	hydrophobic
571	hydrophobic
572	hydrophobic
572	hydrophobic
573	hydrophobic
574	hydrophilic
575	hydrophobic
576	hydrophobic
577	hydrophobic
578	hydrophobic
579	hydrophobic
580	hydrophobic
581	hydrophobic
583	hydrophobic
590	hydrophobic
593	hydrophobic
594	hydrophilic
596	hydrophobic
596	hydrophobic
597	hydrophobic
598	hydrophobic
599	hydrophobic
604	hydrophobic
607	hydrophobic
608	hydrophobic
622	hydrophobic
624	hydrophilic
629	hydrophobic
631	hydrophobic
635	hydrophobic
637	hydrophobic
639	hydrophobic
641	hydrophobic
642	hydrophobic
643	hydrophilic
646	hydrophobic
649	hydrophobic
649	hydrophobic
649	hydrophobic
650	hydrophobic
651	hydrophobic
652	hydrophobic
654	hydrophobic
655	hydrophobic
657	hydrophobic
658	hydrophobic
661	hydrophobic
662	hydrophobic
662	hydrophobic
662	hydrophobic
662	hydrophobic
663	hydrophobic
664	hydrophobic
665	hydrophobic
667	hydrophobic
671	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophobic
672	hydrophilic
675	hydrophobic
676	hydrophobic
677	hydrophobic
683	hydrophobic
684	hydrophilic
685	hydrophobic
686	hydrophobic
687	hydrophobic
690	hydrophobic
694	hydrophobic
695	hydrophobic
696	hydrophobic
705	hydrophobic
706	hydrophilic
706	hydrophobic
708	hydrophobic
710	hydrophobic
711	hydrophilic
713	hydrophobic
714	hydrophobic
716	hydrophobic
717	hydrophobic
718	hydrophobic
720	hydrophobic
721	hydrophobic
726	hydrophobic
728	hydrophilic
729	hydrophobic
730	hydrophobic
731	hydrophobic
732	hydrophobic
733	hydrophobic
747	hydrophobic
752	hydrophobic
754	hydrophobic
759	hydrophobic
760	hydrophobic
762	hydrophobic
763	hydrophobic
765	hydrophobic
767	hydrophobic
768	hydrophobic
770	hydrophobic
771	hydrophobic
773	hydrophobic
779	hydrophilic
780	hydrophobic
780	hydrophobic
780	hydrophobic
786	hydrophilic
788	hydrophilic
790	hydrophobic
794	hydrophobic
795	hydrophobic
796	hydrophobic
800	hydrophobic
800	hydrophobic
800	hydrophobic
800	hydrophobic
811	hydrophobic
813	hydrophobic
817	hydrophobic
819	hydrophobic
821	hydrophobic
824	hydrophobic
825	hydrophobic
826	hydrophobic
828	hydrophobic
828	hydrophobic
829	hydrophobic
830	hydrophobic
834	hydrophobic
835	hydrophobic
836	hydrophobic
836	hydrophobic
837	hydrophobic
838	hydrophobic
839	hydrophobic
839	hydrophobic
840	hydrophobic
841	hydrophobic
843	hydrophobic
844	hydrophobic
845	hydrophobic
846	hydrophobic
847	hydrophobic
857	hydrophilic
858	hydrophilic
859	hydrophilic
860	hydrophobic
862	hydrophobic
864	hydrophobic
865	hydrophobic
866	hydrophilic
869	hydrophilic
873	hydrophobic
874	hydrophobic
875	hydrophobic
881	hydrophobic
883	hydrophobic
885	hydrophobic
889	hydrophobic
890	hydrophobic
891	hydrophobic
894	hydrophobic
896	hydrophobic
898	hydrophobic
898	hydrophobic
899	hydrophobic
900	hydrophobic
901	hydrophobic
