tracking_id	locus	nearest_ref_id	class_code	transcript_length	kidneyChr21	kidneyChr21	liverChr21	liverChr21
Gene_00001	chr1:789310-789403	NR_015368	c		0	0	0	0
Gene_00002	chr1:1431363-1431403	NM_031921	c		161.726	20	81.2435	9
Gene_00003	chr1:2495127-2495222	NM_003820	c		1786.3	285	482.786	69
Gene_00004	chr1:5446956-5447187	-	-		141.803	47	107.779	32
Gene_00005	chr1:7831345-7831406	NM_004781	c		278.449	68	155.422	34
Gene_00006	chr1:7838183-7838231	NM_004781	.		2209.82	501	1171.91	238
Gene_00007	chr1:7839759-7840083	NM_004781	c		0	0	0	0
Gene_00008	chr1:7841355-7841452	NM_004781	c		24510.4	3338	5631.42	687
Gene_00009	chr1:8029403-8037801	NM_001123377	.		8637.37	384	4168.26	166
Gene_00010	chr1:9353934-9369398	NM_025106	i		18951.8	524	7106.07	176
Gene_00011	chr1:10075965-10076047	NM_052960	c		8.28628	1	9.2503	1
Gene_00012	chr1:10240132-10240521	NM_001105562	c		2006.39	206	43.4915	4
Gene_00013	chr1:10240800-10240849	NM_001105562	c		337.909	78	406.238	84
Gene_00014	chr1:10240946-10241102	NM_001105562	c		0	0	0	0
Gene_00015	chr1:10364187-10364379	NM_183416	c		0	0	0	0
Gene_00016	chr1:10365543-10365808	NM_183416	c		0	0	0	0
Gene_00017	chr1:10439560-10439645	NM_015074	c		0	0	0	0
Gene_00018	chr1:10478881-10478921	NM_002631	e		0	0	0	0
Gene_00019	chr1:10479748-10480201	NM_002631	c		268.785	156	234.659	122
Gene_00020	chr1:11076882-11077069	NM_007375	c		1171.9	64	245.296	12
Gene_00021	chr1:11080487-11080565	NM_007375	c		0	0	0	0
Gene_00022	chr1:11082176-11083248	NM_007375	c		425.047	12	237.248	6
Gene_00023	chr1:11082176-11083248	NM_007375	c		27.1679	1	0	0
Gene_00024	chr1:11083394-11083905	NM_007375	c		38.7648	3	43.2747	3
Gene_00025	chr1:12062063-12062152	NM_001127660	c		87.167	7	0	0
Gene_00026	chr1:12064568-12064625	NM_001127660	.		0	0	54.2376	5
Gene_00027	chr1:12064880-12065827	NM_001127660	c		0	0	0	0
Gene_00028	chr1:12072441-12072525	NM_001127660	c		0	0	0	0
Gene_00029	chr1:12072798-12085211	NM_001127660	c		129.946	9	0	0
Gene_00030	chr1:12268152-12268198	NM_001066	c		0	0	0	0
