affy_U133Plus2
Genbank Acc	GO
U48705	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004714(transmembrane receptor protein tyrosine kinase activity) GO:0004872(receptor activity) GO:0005524(ATP binding) GO:0006468(protein amino acid phosphorylation) GO:0007155(cell adhesion) GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway) GO:0008284(positive regulation of cell proliferation) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016740(transferase activity) EC 2 EC 2.7.1.37 EC 2.7.10.2
M87338	GO:0000084(S phase of mitotic cell cycle) GO:0000790(nuclear chromatin) GO:0003687(DNA replication factor) GO:0003689(DNA clamp loader activity) GO:0005524(ATP binding) GO:0005663(DNA replication factor C complex) GO:0006260(DNA replication) GO:0006272(leading strand elongation) GO:0016887(ATPase activity) GO:0031389(Rad17 RFC-like complex) GO:0031390(Ctf18 RFC-like complex) GO:0031391(Elg1 RFC-like complex)
X51757	GO:0000074(regulation of progression through cell cycle) GO:0000166(nucleotide binding) GO:0003773(heat shock protein activity) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005634(nucleus) GO:0005739(mitochondrion) GO:0005783(endoplasmic reticulum) GO:0005788(endoplasmic reticulum lumen) GO:0005829(cytosol) GO:0006457(protein folding) GO:0006950(response to stress) GO:0006983(ER overload response) GO:0006986(response to unfolded protein) GO:0009408(response to heat) GO:0009615(response to virus) GO:0031965(nuclear membrane) GO:0042623(ATPase activity, coupled) GO:0043022(ribosome binding) GO:0051082(unfolded protein binding) GO:0051084(posttranslational protein folding) GO:0051085(chaperone cofactor dependent protein folding)
X69699	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0005667(transcription factor complex) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007275(development) GO:0007283(spermatogenesis) GO:0007399(nervous system development) GO:0009887(organ morphogenesis) GO:0030154(cell differentiation)
L36861	GO:0005509(calcium ion binding) GO:0007600(sensory perception) GO:0007601(visual perception) GO:0007602(phototransduction) GO:0008048(calcium sensitive guanylate cyclase activator activity) GO:0030249(guanylate cyclase regulator activity) GO:0031282(regulation of guanylate cyclase activity)
L13852	
X55005	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0003707(steroid hormone receptor activity) GO:0004872(receptor activity) GO:0004879(ligand-dependent nuclear receptor activity) GO:0004887(thyroid hormone receptor activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007605(sensory perception of sound) GO:0008016(regulation of heart contraction) GO:0008270(zinc ion binding) GO:0009887(organ morphogenesis) GO:0016481(negative regulation of transcription) GO:0016564(transcriptional repressor activity) GO:0043565(sequence-specific DNA binding) GO:0046872(metal ion binding)
X79510	
M21121	
J02843	GO:0004497(monooxygenase activity) GO:0005506(iron ion binding) GO:0005615(extracellular space) GO:0005783(endoplasmic reticulum) GO:0005792(microsome) GO:0006118(electron transport) GO:0016020(membrane) GO:0016491(oxidoreductase activity) GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen) GO:0020037(heme binding) GO:0046872(metal ion binding) EC 1 EC 1.14.14
X75208	GO:0000166(nucleotide binding) GO:0004672(protein kinase activity) GO:0004674(protein serine/threonine kinase activity) GO:0004713(protein-tyrosine kinase activity) GO:0004872(receptor activity) GO:0005003(ephrin receptor activity) GO:0005005(transmembrane-ephrin receptor activity) GO:0005102(receptor binding) GO:0005515(protein binding) GO:0005524(ATP binding) GO:0005615(extracellular space) GO:0005887(integral to plasma membrane) GO:0006468(protein amino acid phosphorylation) GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway) GO:0007411(axon guidance) GO:0007612(learning) GO:0008046(axon guidance receptor activity) GO:0009887(organ morphogenesis) GO:0016020(membrane) GO:0016021(integral to membrane) GO:0016301(kinase activity) GO:0016740(transferase activity) GO:0048168(regulation of neuronal synaptic plasticity) GO:0048170(positive regulation of long-term neuronal synaptic plasticity) GO:0050770(regulation of axonogenesis) EC 2 EC 2.7.1.37 EC 2.7.10.2
L38487	
M33318	GO:0004497(monooxygenase activity) GO:0005506(iron ion binding) GO:0005783(endoplasmic reticulum) GO:0005792(microsome) GO:0006118(electron transport) GO:0016020(membrane) GO:0016491(oxidoreductase activity) GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen) GO:0020037(heme binding) GO:0046872(metal ion binding) GO:0050381(unspecific monooxygenase activity) EC 1 EC 1.14.14 EC 1.14.14.1
NM_005505	
NM_015140	
NM_052871	
NM_080735	
NM_138957	
NM_138957	
NM_145004	
NM_138796	
NM_153359	
NM_153359	
BC014479	
BG573647	
NM_080432	
NM_080655	
NM_080669	
AK074161	
NM_138379	
NM_173596	
NM_024786	
NM_080653	
NM_001132	
BC034926	
BC034926	
NM_017861	
NM_152774	
NM_152264	
NM_153274	
NM_145025	
NM_032854	
NM_145041	
NM_145041	
NM_032834	
BC033730	
NM_153211	
NM_144573	
NM_144597	
NM_032753	
NM_005927	
NM_172098	GO:0000287(magnesium ion binding) GO:0003824(catalytic activity) GO:0004721(phosphoprotein phosphatase activity) GO:0004725(protein tyrosine phosphatase activity) GO:0005515(protein binding) GO:0005634(nucleus) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0006470(protein amino acid dephosphorylation) GO:0007275(development) GO:0008138(protein tyrosine/serine/threonine phosphatase activity) GO:0008152(metabolism) GO:0016787(hydrolase activity) EC 3 EC 3.1.3.16 EC 3.1.3.48
NM_130759	
NM_130759	
AK091818	
NM_144506	
NM_033124	
NM_033124	
NM_138819	
NM_138819	
NM_145020	
NM_145020	
NM_152583	
BC029352	
NM_145039	
NM_138632	
BG571343	
NM_053054	
NM_014621	GO:0003677(DNA binding) GO:0003700(transcription factor activity) GO:0005634(nucleus) GO:0005667(transcription factor complex) GO:0006350(transcription) GO:0006355(regulation of transcription, DNA-dependent) GO:0007275(development) GO:0007389(pattern specification) GO:0009887(organ morphogenesis) GO:0043565(sequence-specific DNA binding) GO:0045449(regulation of transcription)
