affy_Mouse430_2
Genbank Acc	GO
BC024686	GO:0000004(biological process unknown) GO:0008372(cellular component unknown) GO:0030276(clathrin binding)
NM_013477	GO:0006754(ATP biosynthesis) GO:0006810(transport) GO:0006811(ion transport) GO:0008553(hydrogen-exporting ATPase activity, phosphorylative mechanism) GO:0015078(hydrogen ion transporter activity) GO:0015986(ATP synthesis coupled proton transport) GO:0015992(proton transport) GO:0016469(proton-transporting two-sector ATPase complex) GO:0016787(hydrolase activity) GO:0046872(metal ion binding) GO:0046933(hydrogen-transporting ATP synthase activity, rotational mechanism) GO:0046961(hydrogen-transporting ATPase activity, rotational mechanism) EC 3 EC 3.6.3.6
NM_020585	
NM_133900	
NM_021789	GO:0005554(molecular function unknown)
BC008256	
NM_011186	GO:0000074(regulation of progression through cell cycle) GO:0004175(endopeptidase activity) GO:0004263(chymotrypsin activity) GO:0004298(threonine endopeptidase activity) GO:0005634(nucleus) GO:0005829(cytosol) GO:0005839(proteasome core complex (sensu Eukaryota)) GO:0006511(ubiquitin-dependent protein catabolism) GO:0006979(response to oxidative stress) GO:0008233(peptidase activity) GO:0016787(hydrolase activity) GO:0019774(proteasome core complex, beta-subunit complex (sensu Eukaryota)) GO:0043161(proteasomal ubiquitin-dependent protein catabolism) GO:0043234(protein complex) EC 3 EC 3.4.21.1 EC 3.4.25
NM_026819	
BC008595	GO:0000287(magnesium ion binding) GO:0003824(catalytic activity) GO:0004721(phosphoprotein phosphatase activity) GO:0004722(protein serine/threonine phosphatase activity) GO:0006470(protein amino acid dephosphorylation) GO:0008287(protein serine/threonine phosphatase complex) GO:0016787(hydrolase activity) GO:0030145(manganese ion binding) GO:0046872(metal ion binding) EC 3 EC 3.1.3.16
NM_025498	
NM_008569	
NM_053164	GO:0005554(molecular function unknown) GO:0005739(mitochondrion) GO:0005762(mitochondrial large ribosomal subunit) GO:0006412(protein biosynthesis) GO:0030529(ribonucleoprotein complex)
NM_023045	
BC016526	GO:0004379(glycylpeptide N-tetradecanoyltransferase activity) GO:0005840(ribosome) GO:0006499(N-terminal protein myristoylation) GO:0007391(dorsal closure) GO:0008372(cellular component unknown) GO:0019107(myristoyltransferase activity) GO:0040007(growth) EC 2.3.1.97
AV168389	GO:0000045(autophagic vacuole formation) GO:0005515(protein binding) GO:0005737(cytoplasm) GO:0005776(autophagic vacuole) GO:0006914(autophagy)
NM_133767	
AV339290	
BM212050	
NM_025985	GO:0004840(ubiquitin conjugating enzyme activity) GO:0004842(ubiquitin-protein ligase activity) GO:0005783(endoplasmic reticulum) GO:0005829(cytosol) GO:0006464(protein modification) GO:0006511(ubiquitin-dependent protein catabolism) GO:0006512(ubiquitin cycle) GO:0008372(cellular component unknown) GO:0016874(ligase activity) GO:0030433(ER-associated protein catabolism) EC 6 EC 6.3.2.19
BC007473	GO:0003676(nucleic acid binding) GO:0003700(transcription factor activity) GO:0005622(intracellular) GO:0005634(nucleus) GO:0006355(regulation of transcription, DNA-dependent) GO:0008270(zinc ion binding)
NM_053161	GO:0003735(structural constituent of ribosome) GO:0005554(molecular function unknown) GO:0005622(intracellular) GO:0005739(mitochondrion) GO:0005762(mitochondrial large ribosomal subunit) GO:0005840(ribosome) GO:0006412(protein biosynthesis) GO:0030529(ribonucleoprotein complex)
