locusLinkId,name,Product,chrom,txStart,txEnd,Ref_Seq
375260,MGC52000,CXYorf1-related protein,chr1,4268,14754,NM_198943
349338,LOC349338,hypothetical protein LOC349338,chr1,4558,7173,NM_182905
79501,OR4F5,"olfactory receptor, family 4, subfamily F,",chr1,58953,59871,NM_001005484
81399,OR4F16,"olfactory receptor, family 4, subfamily F,",chr1,407521,408460,NM_001005277
135896,OR4F29,"olfactory receptor, family 4, subfamily F,",chr1,407521,408460,NM_001005221
26683,OR4F3,"olfactory receptor, family 4, subfamily F,",chr1,407521,408460,NM_001005224
81399,OR4F16,"olfactory receptor, family 4, subfamily F,",chr1,660958,661897,NM_001005277
135896,OR4F29,"olfactory receptor, family 4, subfamily F,",chr1,660958,661897,NM_001005221
26683,OR4F3,"olfactory receptor, family 4, subfamily F,",chr1,660958,661897,NM_001005224
79854,FLJ22639,hypothetical protein LOC79854,chr1,801449,802749,NM_024796
148398,SAMD11,sterile alpha motif domain containing 11,chr1,914832,920104,NM_152486
26155,DKFZP564C186,hypothetical protein LOC26155,chr1,919738,934774,NM_015658
339451,KLHL17,kelch-like 17,chr1,936109,941162,NM_198317
84069,DKFZP434H2010,hypothetical protein LOC84069,chr1,941943,950549,NM_032129
57801,HES4,hairy and enhancer of split 4,chr1,974411,975537,NM_021170
9636,G1P2,"interferon, alpha-inducible protein (clone",chr1,988945,989986,NM_005101
375790,AGRN,agrin,chr1,995569,1031415,NM_198576
54991,FLJ20584,hypothetical protein LOC54991,chr1,1057127,1091392,NM_017891
254173,FLJ36119,hypothetical protein LOC254173,chr1,1154999,1161164,NM_153254
8784,TNFRSF18,"tumor necrosis factor receptor superfamily,",chr1,1178811,1182012,NM_004195
8784,TNFRSF18,"tumor necrosis factor receptor superfamily,",chr1,1178811,1182012,NM_148901
8784,TNFRSF18,"tumor necrosis factor receptor superfamily,",chr1,1178811,1182012,NM_148902
7293,TNFRSF4,"tumor necrosis factor receptor superfamily,",chr1,1186629,1189435,NM_003327
51150,Cab45,calcium binding protein Cab45 precursor,chr1,1192211,1207304,NM_016176
51150,Cab45,calcium binding protein Cab45 precursor,chr1,1192234,1207334,NM_016547
126792,B3GALT6,"UDP-Gal:betaGal beta 1,3-galactosyltransferase",chr1,1207567,1210341,NM_080605
118424,UBE2J2,"ubiquitin conjugating enzyme E2, J2 isoform 2",chr1,1229216,1249157,NM_058167
118424,UBE2J2,"ubiquitin conjugating enzyme E2, J2 isoform 1",chr1,1229216,1249157,NM_194315
118424,UBE2J2,"ubiquitin conjugating enzyme E2, J2 isoform 4",chr1,1229216,1249157,NM_194316
118424,UBE2J2,"ubiquitin conjugating enzyme E2, J2 isoform 3",chr1,1229216,1249157,NM_194457
118424,UBE2J2,"ubiquitin conjugating enzyme E2, J2 isoform 3",chr1,1229216,1249157,NM_194458
6339,SCNN1D,"sodium channel, nonvoltage-gated 1, delta",chr1,1257498,1267332,NM_002978
116983,CENTB5,"centaurin, beta 5",chr1,1268866,1278563,NM_030649
126789,PUSL1,pseudouridylate synthase-like 1,chr1,1283916,1286979,NM_153339
54973,RC68,hypothetical protein FLJ20542,chr1,1286901,1299952,NM_017871
54973,RC68,hypothetical protein FLJ20542,chr1,1286908,1299973,NM_032179
1855,DVL1,dishevelled 1 isoform b,chr1,1310580,1324683,NM_181870
1855,DVL1,dishevelled 1 isoform a,chr1,1310581,1324415,NM_004421
1855,DVL1,dishevelled 1 isoform c,chr1,1310581,1324438,NM_182779
84308,MGC3047,limitrin,chr1,1327994,1333838,NM_032348
54998,AKIP,aurora-A kinase interacting protein,chr1,1349032,1350503,NM_017900
